instance;approach;arc;arc_type;class;graph_density;link_capacity_ratio;charge_arc;prob_sharing_NFS
7;Heuristic;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.686573093220339;0.1
7;Heuristic;15;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;17;backhaul;tiny_tight_low_strong;0.1;tight;0.23251228083192912;0.1
7;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.9644717261904762;0.1
7;Heuristic;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;10;fronthaul;tiny_tight_low_strong;0.1;tight;0.6184398854961832;0.1
7;Heuristic;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;16;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;19;fronthaul;tiny_tight_low_strong;0.1;tight;0.00026834685847444353;0.1
7;Heuristic;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.8690308988764045;0.1
7;Heuristic;20;fronthaul;tiny_tight_low_strong;0.1;tight;0.2649372748608859;0.1
7;Heuristic;21;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;23;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;18;backhaul;tiny_tight_low_strong;0.1;tight;0.00023550457424587672;0.1
7;Heuristic;22;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;24;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
8;MILP;1;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
8;MILP;3;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
8;MILP;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
8;MILP;7;backhaul;tiny_tight_low_strong;0.1;tight;0.6450471698113178;0.1
8;MILP;9;backhaul;tiny_tight_low_strong;0.1;tight;0.4646840148698885;0.1
